date,tmax_f,tmin_f,tavg_f,source
2013-02-01,28.8,21.0,26.4,historical_csv
2013-02-02,24.1,15.4,20.7,historical_csv
2013-02-03,29.0,18.2,24.7,historical_csv
2013-02-04,29.8,20.8,25.5,historical_csv
2013-02-05,32.8,26.3,29.7,historical_csv
2013-02-06,38.5,24.9,31.7,historical_csv
2013-02-07,34.7,21.5,28.6,historical_csv
2013-02-08,35.3,31.5,33.5,historical_csv
2013-02-09,33.1,21.1,27.3,historical_csv
2013-02-10,39.7,13.2,27.6,historical_csv
2013-02-11,41.6,33.1,36.8,historical_csv
2013-02-12,43.7,30.3,39.0,historical_csv
2013-02-13,42.1,23.6,33.4,historical_csv
2013-02-14,44.3,32.9,36.8,historical_csv
2013-02-15,52.7,30.0,40.6,historical_csv
2013-02-16,35.5,29.8,33.0,historical_csv
2013-02-17,29.9,20.3,26.0,historical_csv
2013-02-18,35.1,17.3,26.2,historical_csv
2013-02-19,40.7,24.7,33.6,historical_csv
2013-02-20,33.9,24.4,28.2,historical_csv
2013-02-21,35.1,23.2,28.5,historical_csv
2013-02-22,35.7,20.9,29.4,historical_csv
2013-02-23,44.3,33.4,38.2,historical_csv
2013-02-24,42.9,32.0,37.8,historical_csv
2013-02-25,43.8,30.8,36.8,historical_csv
2013-02-26,44.2,25.3,34.8,historical_csv
2013-02-27,47.5,36.3,42.7,historical_csv
2013-02-28,44.5,34.9,40.4,historical_csv
2013-03-01,42.7,32.2,38.0,historical_csv
2013-03-02,37.3,31.2,34.1,historical_csv
2013-03-03,36.7,27.5,31.8,historical_csv
2013-03-04,39.0,28.5,33.1,historical_csv
2013-03-05,46.4,31.1,37.7,historical_csv
2013-03-06,40.6,36.6,38.8,historical_csv
2013-03-07,46.3,34.6,39.9,historical_csv
2013-03-08,43.9,31.4,37.3,historical_csv
2013-03-09,62.4,31.6,45.0,historical_csv
2013-03-10,58.8,28.8,44.0,historical_csv
2013-03-11,57.3,38.2,48.3,historical_csv
2013-03-12,56.1,42.6,51.7,historical_csv
2013-03-13,47.5,32.6,40.3,historical_csv
2013-03-14,40.7,30.0,34.8,historical_csv
2013-03-15,50.9,24.7,39.0,historical_csv
2013-03-16,44.9,32.0,36.1,historical_csv
2013-03-17,37.5,30.0,33.5,historical_csv
2013-03-18,35.7,27.5,31.5,historical_csv
2013-03-19,49.7,33.1,38.8,historical_csv
2013-03-20,46.0,32.2,38.0,historical_csv
2013-03-21,36.4,28.2,32.9,historical_csv
2013-03-22,40.0,27.2,33.0,historical_csv
2013-03-23,46.2,32.0,38.0,historical_csv
2013-03-24,46.4,29.7,38.6,historical_csv
2013-03-25,39.1,33.3,36.0,historical_csv
2013-03-26,51.1,34.5,40.4,historical_csv
2013-03-27,49.7,32.1,41.1,historical_csv
2013-03-28,47.8,34.0,41.2,historical_csv
2013-03-29,52.7,35.5,44.5,historical_csv
2013-03-30,57.0,30.1,45.0,historical_csv
2013-03-31,55.4,32.4,44.2,historical_csv
2013-04-01,56.5,38.2,46.5,historical_csv
2013-04-02,42.9,28.9,36.5,historical_csv
2013-04-03,44.5,29.1,36.7,historical_csv
2013-04-04,51.9,26.4,39.3,historical_csv
2013-04-05,60.9,36.6,49.0,historical_csv
2013-04-06,52.9,32.6,42.8,historical_csv
2013-04-07,62.7,39.6,51.8,historical_csv
2013-04-08,76.9,44.9,62.8,historical_csv
2013-04-09,82.2,57.2,71.6,historical_csv
2013-04-10,86.8,60.9,72.0,historical_csv
2013-04-11,64.5,51.3,60.2,historical_csv
2013-04-12,50.1,44.3,46.2,historical_csv
2013-04-13,58.5,40.9,49.8,historical_csv
2013-04-14,61.1,40.2,51.3,historical_csv
2013-04-15,61.4,46.7,52.8,historical_csv
2013-04-16,70.7,49.7,59.4,historical_csv
2013-04-17,71.2,54.9,61.9,historical_csv
2013-04-18,60.9,54.7,57.1,historical_csv
2013-04-19,75.1,55.2,65.6,historical_csv
2013-04-20,56.2,43.4,49.5,historical_csv
2013-04-21,53.3,32.8,44.2,historical_csv
2013-04-22,53.6,35.1,45.8,historical_csv
2013-04-23,55.5,42.5,48.4,historical_csv
2013-04-24,71.5,40.4,56.1,historical_csv
2013-04-25,60.9,42.9,52.2,historical_csv
2013-04-26,62.7,39.9,51.6,historical_csv
2013-04-27,69.4,37.3,54.5,historical_csv
2013-04-28,69.9,43.1,57.8,historical_csv
2013-04-29,56.9,52.2,55.0,historical_csv
2013-04-30,68.2,52.1,59.3,historical_csv
2014-02-01,45.9,25.7,35.4,historical_csv
2014-02-02,43.7,26.1,35.8,historical_csv
2014-02-03,38.3,24.3,32.4,historical_csv
2014-02-04,30.1,10.6,22.4,historical_csv
2014-02-05,35.7,27.1,32.2,historical_csv
2014-02-06,29.8,19.0,24.3,historical_csv
2014-02-07,31.6,16.0,24.5,historical_csv
2014-02-08,28.0,13.8,22.2,historical_csv
2014-02-09,26.6,15.5,21.9,historical_csv
2014-02-10,26.9,15.0,21.8,historical_csv
2014-02-11,24.0,2.6,15.1,historical_csv
2014-02-12,22.4,1.4,14.6,historical_csv
2014-02-13,34.9,19.6,27.9,historical_csv
2014-02-14,40.9,26.1,34.1,historical_csv
2014-02-15,33.9,26.8,30.7,historical_csv
2014-02-16,27.6,17.6,22.3,historical_csv
2014-02-17,28.8,13.7,21.6,historical_csv
2014-02-18,37.1,24.2,29.3,historical_csv
2014-02-19,42.0,21.9,31.9,historical_csv
2014-02-20,46.5,25.9,38.7,historical_csv
2014-02-21,42.7,34.4,38.1,historical_csv
2014-02-22,50.7,32.6,41.5,historical_csv
2014-02-23,47.1,27.9,38.0,historical_csv
2014-02-24,38.2,26.5,31.6,historical_csv
2014-02-25,29.6,20.0,25.1,historical_csv
2014-02-26,25.5,15.2,21.8,historical_csv
2014-02-27,26.9,8.2,16.6,historical_csv
2014-02-28,19.3,3.6,11.7,historical_csv
2014-03-01,32.5,9.1,21.9,historical_csv
2014-03-02,35.8,27.6,31.2,historical_csv
2014-03-03,27.2,13.3,17.9,historical_csv
2014-03-04,28.1,7.6,18.0,historical_csv
2014-03-05,35.1,19.6,26.3,historical_csv
2014-03-06,29.2,14.4,21.9,historical_csv
2014-03-07,39.2,22.0,29.4,historical_csv
2014-03-08,48.8,24.4,37.7,historical_csv
2014-03-09,39.5,33.8,36.1,historical_csv
2014-03-10,50.2,33.0,41.0,historical_csv
2014-03-11,59.7,37.2,48.0,historical_csv
2014-03-12,49.8,25.1,43.4,historical_csv
2014-03-13,28.1,16.3,22.0,historical_csv
2014-03-14,46.4,20.0,33.3,historical_csv
2014-03-15,53.5,40.2,47.1,historical_csv
2014-03-16,37.6,26.7,31.4,historical_csv
2014-03-17,32.9,22.9,27.7,historical_csv
2014-03-18,43.8,26.5,33.9,historical_csv
2014-03-19,40.1,32.1,35.8,historical_csv
2014-03-20,47.6,37.1,41.7,historical_csv
2014-03-21,50.4,31.9,40.5,historical_csv
2014-03-22,61.1,32.8,45.4,historical_csv
2014-03-23,40.8,26.1,36.2,historical_csv
2014-03-24,31.9,17.6,25.2,historical_csv
2014-03-25,32.8,19.1,27.2,historical_csv
2014-03-26,31.5,25.3,28.4,historical_csv
2014-03-27,41.8,17.5,30.6,historical_csv
2014-03-28,57.9,35.0,45.2,historical_csv
